,Date,KWH,Source
66,2010-01-13 13:00:00,152430.22,Solar
67,2010-01-13 14:00:00,155163.48,Solar
68,2010-01-13 15:00:00,142348.3,Solar
69,2010-01-13 16:00:00,107766.7,Solar
70,2010-01-13 17:00:00,51508.96,Solar
71,2010-01-14 10:00:00,43818.08,Solar
72,2010-01-14 11:00:00,103257.7,Solar
73,2010-01-14 12:00:00,146213.9,Solar
74,2010-01-14 13:00:00,149018.26,Solar
75,2010-01-14 14:00:00,95080.3,Solar
76,2010-01-14 15:00:00,105494.38,Solar
77,2010-01-14 16:00:00,42619.64,Solar
78,2010-01-14 17:00:00,6453.14,Solar
79,2010-01-15 10:00:00,15271.18,Solar
80,2010-01-15 11:00:00,47189.78,Solar
81,2010-01-15 12:00:00,75972.0,Solar
82,2010-01-15 13:00:00,79475.04,Solar
83,2010-01-15 14:00:00,157763.7,Solar
84,2010-01-15 15:00:00,154660.08,Solar
85,2010-01-15 16:00:00,123451.28,Solar
86,2010-01-15 17:00:00,70152.62,Solar
87,2010-01-16 10:00:00,8875.3,Solar
88,2010-01-16 11:00:00,19227.14,Solar
89,2010-01-16 12:00:00,25544.18,Solar
90,2010-01-16 13:00:00,26884.46,Solar
91,2010-01-16 14:00:00,26309.56,Solar
92,2010-01-16 15:00:00,22680.26,Solar
93,2010-01-16 16:00:00,15751.88,Solar
94,2010-01-16 17:00:00,8305.2,Solar
95,2010-01-17 10:00:00,5241.56,Solar
96,2010-01-17 11:00:00,11294.58,Solar
97,2010-01-17 12:00:00,21654.84,Solar
98,2010-01-17 13:00:00,27577.36,Solar
99,2010-01-17 14:00:00,36972.72,Solar
100,2010-01-17 15:00:00,52900.92,Solar
101,2010-01-17 16:00:00,86435.38,Solar
102,2010-01-17 17:00:00,44273.66,Solar
103,2010-01-18 10:00:00,5059.5,Solar
104,2010-01-18 11:00:00,12650.22,Solar
105,2010-01-18 12:00:00,13940.72,Solar
106,2010-01-18 13:00:00,20418.9,Solar
107,2010-01-18 14:00:00,22814.96,Solar
108,2010-01-18 15:00:00,25494.62,Solar
109,2010-01-18 16:00:00,22919.78,Solar
110,2010-01-18 17:00:00,8742.58,Solar
111,2010-01-19 10:00:00,49463.6,Solar
112,2010-01-19 11:00:00,63870.56,Solar
113,2010-01-19 12:00:00,56841.62,Solar
114,2010-01-19 13:00:00,49911.12,Solar
115,2010-01-19 14:00:00,50335.56,Solar
116,2010-01-19 15:00:00,36258.32,Solar
117,2010-01-19 16:00:00,14941.28,Solar
118,2010-01-19 17:00:00,5680.66,Solar
119,2010-01-20 10:00:00,33251.36,Solar
120,2010-01-20 11:00:00,123044.32,Solar
121,2010-01-20 12:00:00,161470.24,Solar
122,2010-01-20 13:00:00,145944.82,Solar
123,2010-01-20 14:00:00,97975.56,Solar
124,2010-01-20 15:00:00,41307.46,Solar
125,2010-01-20 16:00:00,46718.66,Solar
126,2010-01-20 17:00:00,23967.74,Solar
127,2010-01-21 10:00:00,10562.52,Solar
128,2010-01-21 11:00:00,16690.16,Solar
129,2010-01-21 12:00:00,41140.68,Solar
130,2010-01-21 13:00:00,91694.16,Solar
131,2010-01-21 14:00:00,110243.82,Solar
132,2010-01-21 15:00:00,125194.22,Solar
133,2010-01-21 16:00:00,81367.34,Solar
134,2010-01-21 17:00:00,53586.44,Solar
135,2010-01-21 18:00:00,7334.917231899999,Solar
136,2010-01-22 10:00:00,10130.36,Solar
137,2010-01-22 11:00:00,18108.58,Solar
138,2010-01-22 12:00:00,19759.08,Solar
139,2010-01-22 13:00:00,18240.9,Solar
140,2010-01-22 14:00:00,23690.28,Solar
141,2010-01-22 15:00:00,19838.46,Solar
142,2010-01-22 16:00:00,21052.62,Solar
143,2010-01-22 17:00:00,11012.38,Solar
144,2010-01-23 10:00:00,6191.18,Solar
145,2010-01-23 11:00:00,11039.58,Solar
146,2010-01-23 12:00:00,17842.14,Solar
147,2010-01-23 13:00:00,29117.26,Solar
148,2010-01-23 14:00:00,31941.12,Solar
149,2010-01-23 15:00:00,24570.28,Solar
150,2010-01-23 16:00:00,12911.64,Solar
151,2010-01-23 17:00:00,9505.8,Solar
152,2010-01-24 11:00:00,4005.6,Solar
153,2010-01-24 12:00:00,7822.18,Solar
154,2010-01-24 13:00:00,14618.06,Solar
155,2010-01-24 14:00:00,25267.42,Solar
156,2010-01-24 15:00:00,21126.46,Solar
157,2010-01-24 16:00:00,16370.54,Solar
158,2010-01-24 17:00:00,12619.98,Solar
159,2010-01-24 18:00:00,4512.7571449,Solar
160,2010-01-25 10:00:00,1751.5300414,Solar
161,2010-01-25 11:00:00,8417.66,Solar
162,2010-01-25 12:00:00,9806.8,Solar
163,2010-01-25 13:00:00,10991.44,Solar
164,2010-01-25 14:00:00,12626.18,Solar
165,2010-01-25 15:00:00,14144.88,Solar
166,2010-01-25 16:00:00,6493.84,Solar
167,2010-01-25 17:00:00,7015.4,Solar
168,2010-01-28 12:00:00,20744.04,Solar
169,2010-01-28 13:00:00,47932.64,Solar
170,2010-01-28 14:00:00,41893.72,Solar
171,2010-01-28 15:00:00,114587.32,Solar
172,2010-01-28 16:00:00,103048.36,Solar
173,2010-01-28 17:00:00,58369.66,Solar
174,2010-01-28 18:00:00,6288.66,Solar
175,2010-01-29 10:00:00,20898.62,Solar
176,2010-01-29 11:00:00,61678.98,Solar
177,2010-01-29 12:00:00,69471.7,Solar
178,2010-01-29 13:00:00,65247.48,Solar
179,2010-01-29 14:00:00,69446.1,Solar
180,2010-01-29 15:00:00,82876.64,Solar
181,2010-01-29 16:00:00,61097.86,Solar
182,2010-01-29 17:00:00,54314.6,Solar
183,2010-01-29 18:00:00,19227.16,Solar
184,2010-01-30 10:00:00,61454.74,Solar
185,2010-01-30 11:00:00,112063.44,Solar
186,2010-01-30 12:00:00,164542.5,Solar
187,2010-01-30 13:00:00,184257.4,Solar
188,2010-01-30 14:00:00,181981.4,Solar
189,2010-01-30 15:00:00,168463.12,Solar
190,2010-01-30 16:00:00,138095.82,Solar
191,2010-01-30 17:00:00,87274.88,Solar
192,2010-01-30 18:00:00,19441.32,Solar
193,2010-01-31 10:00:00,8645.2,Solar
194,2010-01-31 11:00:00,31237.44,Solar
195,2010-01-31 12:00:00,64408.88,Solar
196,2010-01-31 13:00:00,129201.9,Solar
197,2010-01-31 14:00:00,180251.2,Solar
198,2010-01-31 15:00:00,138769.24,Solar
199,2010-01-31 16:00:00,110300.2,Solar
200,2010-01-31 17:00:00,42804.02,Solar
201,2010-01-31 18:00:00,5792.08,Solar
202,2010-02-01 10:00:00,41506.64,Solar
203,2010-02-01 11:00:00,59304.42,Solar
204,2010-02-01 12:00:00,72918.36,Solar
205,2010-02-01 13:00:00,74828.78,Solar
206,2010-02-01 14:00:00,74187.78,Solar
207,2010-02-01 15:00:00,52680.8,Solar
208,2010-02-01 16:00:00,38841.96,Solar
209,2010-02-01 17:00:00,29640.8,Solar
210,2010-02-01 18:00:00,8839.88,Solar
211,2010-02-02 10:00:00,8235.7,Solar
212,2010-02-02 11:00:00,11643.66,Solar
213,2010-02-02 12:00:00,35225.2,Solar
214,2010-02-02 13:00:00,53795.82,Solar
215,2010-02-02 14:00:00,46349.4,Solar
216,2010-02-02 15:00:00,29012.98,Solar
217,2010-02-02 16:00:00,15005.8,Solar
218,2010-02-02 17:00:00,5447.02,Solar
219,2010-02-03 10:00:00,10896.38,Solar
220,2010-02-03 11:00:00,18027.22,Solar
221,2010-02-03 12:00:00,19002.5,Solar
222,2010-02-03 13:00:00,42436.36,Solar
223,2010-02-03 14:00:00,62867.06,Solar
224,2010-02-03 15:00:00,58416.02,Solar
225,2010-02-03 16:00:00,24410.98,Solar
226,2010-02-03 17:00:00,20678.24,Solar
227,2010-02-03 18:00:00,6095.2,Solar
228,2010-02-04 10:00:00,46283.5,Solar
229,2010-02-04 11:00:00,86180.66,Solar
230,2010-02-04 12:00:00,89422.64,Solar
231,2010-02-04 13:00:00,74756.26,Solar
232,2010-02-04 14:00:00,78531.12,Solar
233,2010-02-04 15:00:00,60295.02,Solar
234,2010-02-04 16:00:00,36355.12,Solar
235,2010-02-04 17:00:00,19219.16,Solar
236,2010-02-04 18:00:00,6151.16,Solar
237,2010-02-05 10:00:00,16256.48,Solar
238,2010-02-05 11:00:00,30826.0,Solar
239,2010-02-05 12:00:00,43179.6,Solar
240,2010-02-05 13:00:00,58308.04,Solar
241,2010-02-05 14:00:00,47387.14,Solar
242,2010-02-05 15:00:00,15851.18,Solar
243,2010-02-05 16:00:00,9025.22,Solar
244,2010-02-05 17:00:00,7253.22,Solar
245,2010-02-05 18:00:00,2083.7925107,Solar
246,2010-02-06 10:00:00,21661.04,Solar
247,2010-02-06 11:00:00,27293.7,Solar
248,2010-02-06 12:00:00,43803.92,Solar
249,2010-02-06 13:00:00,44359.1,Solar
250,2010-02-06 14:00:00,65582.88,Solar
251,2010-02-06 15:00:00,53957.68,Solar
252,2010-02-06 16:00:00,44089.24,Solar
253,2010-02-06 17:00:00,77092.48,Solar
254,2010-02-06 18:00:00,17543.28,Solar
255,2010-02-07 10:00:00,38458.76,Solar
256,2010-02-07 11:00:00,44226.36,Solar
257,2010-02-07 12:00:00,94959.18,Solar
258,2010-02-07 13:00:00,117118.88,Solar
259,2010-02-07 14:00:00,73246.6,Solar
260,2010-02-07 15:00:00,90369.5,Solar
261,2010-02-07 16:00:00,91043.76,Solar
262,2010-02-07 17:00:00,48975.32,Solar
263,2010-02-07 18:00:00,14903.52,Solar
264,2010-02-08 09:00:00,14223.24,Solar
265,2010-02-08 10:00:00,82968.86,Solar
266,2010-02-08 11:00:00,95804.3,Solar
267,2010-02-08 12:00:00,124006.54,Solar
268,2010-02-08 13:00:00,174522.58,Solar
269,2010-02-08 14:00:00,186542.38,Solar
270,2010-02-08 15:00:00,173711.24,Solar
271,2010-02-08 16:00:00,149006.44,Solar
272,2010-02-08 17:00:00,102258.78,Solar
273,2010-02-08 18:00:00,35217.88,Solar
274,2010-02-09 10:00:00,6238.0,Solar
275,2010-02-09 11:00:00,6115.0,Solar
276,2010-02-09 12:00:00,7068.08,Solar
277,2010-02-09 13:00:00,14873.5,Solar
278,2010-02-09 14:00:00,24423.66,Solar
279,2010-02-09 15:00:00,24240.1,Solar
280,2010-02-09 16:00:00,15964.06,Solar
281,2010-02-09 17:00:00,9938.74,Solar
282,2010-02-09 18:00:00,3075.1939598999998,Solar
283,2010-02-10 11:00:00,3397.86,Solar
284,2010-02-10 12:00:00,9933.84,Solar
285,2010-02-10 13:00:00,19065.74,Solar
286,2010-02-10 14:00:00,25723.14,Solar
287,2010-02-10 15:00:00,24339.86,Solar
288,2010-02-10 16:00:00,19461.04,Solar
289,2010-02-10 17:00:00,13251.58,Solar
290,2010-02-10 18:00:00,4177.7192557,Solar
291,2010-02-11 10:00:00,7806.94,Solar
292,2010-02-11 11:00:00,12721.38,Solar
293,2010-02-11 12:00:00,28936.04,Solar
294,2010-02-11 13:00:00,83379.62,Solar
295,2010-02-11 14:00:00,147239.98,Solar
296,2010-02-11 15:00:00,182873.6,Solar
297,2010-02-11 16:00:00,156569.94,Solar
298,2010-02-11 17:00:00,108657.74,Solar
299,2010-02-11 18:00:00,43994.84,Solar
300,2010-02-12 09:00:00,4880.2727971,Solar
301,2010-02-12 10:00:00,17341.34,Solar
302,2010-02-12 11:00:00,30990.62,Solar
303,2010-02-12 12:00:00,44310.72,Solar
304,2010-02-12 13:00:00,51526.84,Solar
305,2010-02-12 14:00:00,77999.88,Solar
306,2010-02-12 15:00:00,75847.88,Solar
307,2010-02-12 16:00:00,121723.68,Solar
308,2010-02-12 17:00:00,96419.52,Solar
309,2010-02-12 18:00:00,25249.04,Solar
310,2010-02-13 09:00:00,5977.3109275,Solar
311,2010-02-13 10:00:00,23862.54,Solar
312,2010-02-13 11:00:00,115350.06,Solar
313,2010-02-13 12:00:00,102223.4,Solar
314,2010-02-13 13:00:00,69946.72,Solar
315,2010-02-13 14:00:00,76460.34,Solar
316,2010-02-13 15:00:00,104762.82,Solar
317,2010-02-13 16:00:00,66377.74,Solar
318,2010-02-13 17:00:00,32110.64,Solar
319,2010-02-13 18:00:00,11557.18,Solar
320,2010-02-14 10:00:00,12636.82,Solar
321,2010-02-14 11:00:00,25778.74,Solar
322,2010-02-14 12:00:00,42439.14,Solar
323,2010-02-14 13:00:00,123292.76,Solar
324,2010-02-14 14:00:00,70217.88,Solar
325,2010-02-14 15:00:00,49592.38,Solar
326,2010-02-14 16:00:00,30070.82,Solar
327,2010-02-14 17:00:00,13740.76,Solar
328,2010-02-14 18:00:00,5553.68,Solar
329,2010-02-15 09:00:00,6780.2148815,Solar
330,2010-02-15 10:00:00,25374.62,Solar
331,2010-02-15 11:00:00,58771.42,Solar
332,2010-02-15 12:00:00,53621.54,Solar
333,2010-02-15 13:00:00,63822.24,Solar
334,2010-02-15 14:00:00,68450.8,Solar
335,2010-02-15 15:00:00,47193.84,Solar
336,2010-02-15 16:00:00,31140.46,Solar
337,2010-02-15 17:00:00,15547.06,Solar
338,2010-02-15 18:00:00,5645.62,Solar
339,2010-02-16 10:00:00,9334.42,Solar
340,2010-02-16 11:00:00,23723.16,Solar
341,2010-02-16 12:00:00,55933.7,Solar
342,2010-02-16 13:00:00,100385.08,Solar
343,2010-02-16 14:00:00,72414.84,Solar
344,2010-02-16 15:00:00,49988.58,Solar
345,2010-02-16 16:00:00,31110.4,Solar
346,2010-02-16 17:00:00,25363.32,Solar
347,2010-02-16 18:00:00,12701.92,Solar
348,2010-02-17 09:00:00,3202.2819096000003,Solar
349,2010-02-17 10:00:00,15959.64,Solar
350,2010-02-17 11:00:00,68958.9,Solar
351,2010-02-17 12:00:00,94369.72,Solar
352,2010-02-17 13:00:00,81172.84,Solar
353,2010-02-17 14:00:00,55935.58,Solar
354,2010-02-17 15:00:00,41729.48,Solar
355,2010-02-17 16:00:00,41106.92,Solar
356,2010-02-17 17:00:00,35510.36,Solar
357,2010-02-17 18:00:00,21415.2,Solar
358,2010-02-18 09:00:00,24214.06,Solar
359,2010-02-18 10:00:00,94569.84,Solar
360,2010-02-18 11:00:00,140787.44,Solar
361,2010-02-18 12:00:00,134315.46,Solar
362,2010-02-18 13:00:00,98998.36,Solar
363,2010-02-18 14:00:00,79052.04,Solar
364,2010-02-18 15:00:00,52472.56,Solar
365,2010-02-18 16:00:00,35018.34,Solar
366,2010-02-18 17:00:00,30999.1,Solar
367,2010-02-18 18:00:00,49204.12,Solar
368,2010-02-19 09:00:00,23344.72,Solar
369,2010-02-19 10:00:00,90868.74,Solar
370,2010-02-19 11:00:00,146526.86,Solar
371,2010-02-19 12:00:00,181062.1,Solar
372,2010-02-19 13:00:00,191239.38,Solar
373,2010-02-19 14:00:00,197042.06,Solar
374,2010-02-19 15:00:00,185366.54,Solar
375,2010-02-19 16:00:00,161280.72,Solar
376,2010-02-19 17:00:00,116862.66,Solar
377,2010-02-19 18:00:00,51107.04,Solar
378,2010-02-20 09:00:00,20897.76,Solar
379,2010-02-20 10:00:00,75548.34,Solar
380,2010-02-20 11:00:00,131883.0,Solar
381,2010-02-20 12:00:00,158228.46,Solar
382,2010-02-20 13:00:00,187402.7,Solar
383,2010-02-20 14:00:00,189333.76,Solar
384,2010-02-20 15:00:00,175383.1,Solar
385,2010-02-20 16:00:00,118434.58,Solar
386,2010-02-20 17:00:00,76402.26,Solar
387,2010-02-20 18:00:00,35925.16,Solar
388,2010-02-21 09:00:00,16002.9,Solar
389,2010-02-21 10:00:00,26680.42,Solar
390,2010-02-21 11:00:00,39815.7,Solar
391,2010-02-21 12:00:00,75448.52,Solar
392,2010-02-21 13:00:00,151161.86,Solar
393,2010-02-21 14:00:00,98383.14,Solar
394,2010-02-21 15:00:00,156297.4,Solar
395,2010-02-21 16:00:00,68713.08,Solar
396,2010-02-21 17:00:00,30832.86,Solar
397,2010-02-21 18:00:00,13292.26,Solar
398,2010-02-22 11:00:00,2888.38,Solar
399,2010-02-22 12:00:00,8919.22,Solar
400,2010-02-22 13:00:00,18981.32,Solar
401,2010-02-22 14:00:00,25469.02,Solar
402,2010-02-22 15:00:00,30221.24,Solar
403,2010-02-22 16:00:00,26105.68,Solar
404,2010-02-22 17:00:00,19799.64,Solar
405,2010-02-22 18:00:00,11060.08,Solar
406,2010-02-23 09:00:00,4489.5246498999995,Solar
407,2010-02-23 10:00:00,16885.94,Solar
408,2010-02-23 11:00:00,27891.72,Solar
409,2010-02-23 12:00:00,43495.84,Solar
410,2010-02-23 13:00:00,69936.82,Solar
411,2010-02-23 14:00:00,125322.6,Solar
412,2010-02-23 15:00:00,161293.02,Solar
413,2010-02-23 16:00:00,51704.86,Solar
414,2010-02-23 17:00:00,23365.64,Solar
415,2010-02-23 18:00:00,12713.78,Solar
416,2010-02-24 09:00:00,9248.76,Solar
417,2010-02-24 10:00:00,26342.2,Solar
418,2010-02-24 11:00:00,48296.8,Solar
419,2010-02-24 12:00:00,68591.66,Solar
420,2010-02-24 13:00:00,92115.72,Solar
421,2010-02-24 14:00:00,89957.04,Solar
422,2010-02-24 15:00:00,87074.88,Solar
423,2010-02-24 16:00:00,65566.36,Solar
424,2010-02-24 17:00:00,51580.44,Solar
425,2010-02-24 18:00:00,22218.32,Solar
426,2010-02-25 09:00:00,19809.0,Solar
427,2010-02-25 10:00:00,76954.16,Solar
428,2010-02-25 11:00:00,119842.24,Solar
429,2010-02-25 12:00:00,168862.7,Solar
430,2010-02-25 13:00:00,179837.78,Solar
431,2010-02-25 14:00:00,120694.42,Solar
432,2010-02-25 15:00:00,47376.54,Solar
433,2010-02-25 16:00:00,60097.76,Solar
434,2010-02-25 17:00:00,50942.5,Solar
435,2010-02-25 18:00:00,15385.04,Solar
436,2010-02-26 09:00:00,5592.8195453,Solar
437,2010-02-26 10:00:00,15455.16,Solar
438,2010-02-26 11:00:00,19600.88,Solar
439,2010-02-26 12:00:00,36106.12,Solar
440,2010-02-26 13:00:00,42140.3,Solar
441,2010-02-26 14:00:00,38040.84,Solar
442,2010-02-26 15:00:00,38865.98,Solar
443,2010-02-26 16:00:00,31459.0,Solar
444,2010-02-26 17:00:00,28488.28,Solar
445,2010-02-26 18:00:00,11060.44,Solar
446,2010-02-27 09:00:00,7538.1,Solar
447,2010-02-27 10:00:00,21833.76,Solar
448,2010-02-27 11:00:00,30914.04,Solar
449,2010-02-27 12:00:00,59011.68,Solar
450,2010-02-27 13:00:00,104313.62,Solar
451,2010-02-27 14:00:00,68274.02,Solar
452,2010-02-27 15:00:00,54203.76,Solar
453,2010-02-27 16:00:00,41492.82,Solar
454,2010-02-27 17:00:00,18890.68,Solar
455,2010-02-27 18:00:00,7014.4,Solar
456,2010-02-28 09:00:00,8065.56,Solar
457,2010-02-28 10:00:00,22878.66,Solar
458,2010-02-28 11:00:00,46872.08,Solar
459,2010-02-28 12:00:00,61601.0,Solar
460,2010-02-28 13:00:00,58998.18,Solar
461,2010-02-28 14:00:00,61388.12,Solar
462,2010-02-28 15:00:00,57225.36,Solar
463,2010-02-28 16:00:00,45450.76,Solar
464,2010-02-28 17:00:00,27583.16,Solar
465,2010-02-28 18:00:00,12446.76,Solar
466,2010-03-01 09:00:00,33835.94,Solar
467,2010-03-01 10:00:00,96225.32,Solar
468,2010-03-01 11:00:00,135607.04,Solar
469,2010-03-01 12:00:00,181605.96,Solar
470,2010-03-01 13:00:00,194666.02,Solar
471,2010-03-01 14:00:00,199569.8,Solar
472,2010-03-01 15:00:00,196787.44,Solar
473,2010-03-01 16:00:00,86991.98,Solar
474,2010-03-01 17:00:00,60571.72,Solar
475,2010-03-01 18:00:00,26389.76,Solar
476,2010-03-02 09:00:00,38605.74,Solar
477,2010-03-02 10:00:00,98044.56,Solar
478,2010-03-02 11:00:00,146652.74,Solar
479,2010-03-02 12:00:00,165584.74,Solar
480,2010-03-02 13:00:00,181948.36,Solar
481,2010-03-02 14:00:00,167078.94,Solar
482,2010-03-02 15:00:00,142440.06,Solar
483,2010-03-02 16:00:00,139796.76,Solar
484,2010-03-02 17:00:00,114219.06,Solar
485,2010-03-02 18:00:00,52325.46,Solar
486,2010-03-03 09:00:00,38920.36,Solar
487,2010-03-03 10:00:00,103284.84,Solar
488,2010-03-03 11:00:00,157067.34,Solar
489,2010-03-03 12:00:00,191619.68,Solar
490,2010-03-03 13:00:00,186271.08,Solar
491,2010-03-03 14:00:00,203742.68,Solar
492,2010-03-03 15:00:00,190832.18,Solar
493,2010-03-03 16:00:00,164391.9,Solar
494,2010-03-03 17:00:00,121466.12,Solar
495,2010-03-03 18:00:00,58579.68,Solar
496,2010-03-03 19:00:00,4616.317236899999,Solar
497,2010-03-04 09:00:00,41566.76,Solar
498,2010-03-04 10:00:00,106608.2,Solar
499,2010-03-04 11:00:00,153358.02,Solar
500,2010-03-04 12:00:00,184853.24,Solar
501,2010-03-04 13:00:00,199250.08,Solar
502,2010-03-04 14:00:00,194778.16,Solar
503,2010-03-04 15:00:00,188493.54,Solar
504,2010-03-04 16:00:00,160989.8,Solar
505,2010-03-04 17:00:00,100728.12,Solar
506,2010-03-04 18:00:00,59076.08,Solar
507,2010-03-04 19:00:00,5650.5182645,Solar
508,2010-03-05 09:00:00,43000.96,Solar
509,2010-03-05 10:00:00,105114.3,Solar
510,2010-03-05 11:00:00,152806.04,Solar
511,2010-03-05 12:00:00,185118.66,Solar
512,2010-03-05 13:00:00,200024.86,Solar
513,2010-03-05 14:00:00,200673.82,Solar
514,2010-03-05 15:00:00,187463.92,Solar
515,2010-03-05 16:00:00,160794.24,Solar
516,2010-03-05 17:00:00,120598.06,Solar
517,2010-03-05 18:00:00,59448.04,Solar
518,2010-03-05 19:00:00,6211.5768117,Solar
519,2010-03-06 09:00:00,44085.48,Solar
520,2010-03-06 10:00:00,105648.96,Solar
521,2010-03-06 11:00:00,154964.18,Solar
522,2010-03-06 12:00:00,186093.28,Solar
523,2010-03-06 13:00:00,197902.5,Solar
524,2010-03-06 14:00:00,203440.52,Solar
525,2010-03-06 15:00:00,189404.08,Solar
526,2010-03-06 16:00:00,163759.18,Solar
527,2010-03-06 17:00:00,121567.4,Solar
528,2010-03-06 18:00:00,61696.92,Solar
529,2010-03-06 19:00:00,6624.4,Solar
530,2010-03-07 09:00:00,43714.02,Solar
531,2010-03-07 10:00:00,100722.42,Solar
532,2010-03-07 11:00:00,147890.68,Solar
533,2010-03-07 12:00:00,181357.34,Solar
534,2010-03-07 13:00:00,196239.08,Solar
535,2010-03-07 14:00:00,196756.74,Solar
536,2010-03-07 15:00:00,155050.5,Solar
537,2010-03-07 16:00:00,142236.16,Solar
538,2010-03-07 17:00:00,97091.48,Solar
539,2010-03-07 18:00:00,55002.92,Solar
540,2010-03-07 19:00:00,6867.54,Solar
541,2010-03-08 09:00:00,39712.6,Solar
542,2010-03-08 10:00:00,97799.64,Solar
543,2010-03-08 11:00:00,145784.12,Solar
544,2010-03-08 12:00:00,175277.26,Solar
545,2010-03-08 13:00:00,188392.36,Solar
546,2010-03-08 14:00:00,188317.38,Solar
547,2010-03-08 15:00:00,176888.1,Solar
548,2010-03-08 16:00:00,148903.38,Solar
549,2010-03-08 17:00:00,106336.24,Solar
550,2010-03-08 18:00:00,50512.06,Solar
551,2010-03-08 19:00:00,6965.66,Solar
552,2010-03-09 09:00:00,37099.66,Solar
553,2010-03-09 10:00:00,94736.3,Solar
554,2010-03-09 11:00:00,135465.86,Solar
555,2010-03-09 12:00:00,162834.54,Solar
556,2010-03-09 13:00:00,183658.38,Solar
557,2010-03-09 14:00:00,173344.06,Solar
558,2010-03-09 15:00:00,162664.2,Solar
559,2010-03-09 16:00:00,137711.92,Solar
560,2010-03-09 17:00:00,91228.58,Solar
561,2010-03-09 18:00:00,36142.3,Solar
562,2010-03-09 19:00:00,5879.34,Solar
563,2010-03-10 09:00:00,9729.3,Solar
564,2010-03-10 10:00:00,77195.12,Solar
565,2010-03-10 11:00:00,28493.12,Solar
566,2010-03-10 12:00:00,17382.42,Solar
567,2010-03-10 13:00:00,21344.72,Solar
568,2010-03-10 14:00:00,51296.98,Solar
569,2010-03-10 15:00:00,55405.12,Solar
570,2010-03-10 16:00:00,26505.74,Solar
571,2010-03-10 17:00:00,14350.84,Solar
572,2010-03-10 18:00:00,13048.18,Solar
573,2010-03-11 09:00:00,16311.56,Solar
574,2010-03-11 10:00:00,53195.64,Solar
575,2010-03-11 11:00:00,101380.96,Solar
576,2010-03-11 12:00:00,158302.1,Solar
577,2010-03-11 13:00:00,140639.68,Solar
578,2010-03-11 14:00:00,108020.5,Solar
579,2010-03-11 15:00:00,132312.44,Solar
