Time,Date,Hour,KWH,Source
2010-01-19 16:00:00,2010-01-19,16,5680.66,Solar
2010-01-20 09:00:00,2010-01-20,9,33251.36,Solar
2010-01-20 10:00:00,2010-01-20,10,123044.32,Solar
2010-01-20 11:00:00,2010-01-20,11,161470.24,Solar
2010-01-20 12:00:00,2010-01-20,12,145944.82,Solar
2010-01-20 13:00:00,2010-01-20,13,97975.56,Solar
2010-01-20 14:00:00,2010-01-20,14,41307.46,Solar
2010-01-20 15:00:00,2010-01-20,15,46718.66,Solar
2010-01-20 16:00:00,2010-01-20,16,23967.74,Solar
2010-01-21 09:00:00,2010-01-21,9,10562.52,Solar
2010-01-21 10:00:00,2010-01-21,10,16690.16,Solar
2010-01-21 11:00:00,2010-01-21,11,41140.68,Solar
2010-01-21 12:00:00,2010-01-21,12,91694.16,Solar
2010-01-21 13:00:00,2010-01-21,13,110243.82,Solar
2010-01-21 14:00:00,2010-01-21,14,125194.22,Solar
2010-01-21 15:00:00,2010-01-21,15,81367.34,Solar
2010-01-21 16:00:00,2010-01-21,16,53586.44,Solar
2010-01-21 17:00:00,2010-01-21,17,7334.917231899999,Solar
2010-01-22 09:00:00,2010-01-22,9,10130.36,Solar
2010-01-22 10:00:00,2010-01-22,10,18108.58,Solar
2010-01-22 11:00:00,2010-01-22,11,19759.08,Solar
2010-01-22 12:00:00,2010-01-22,12,18240.9,Solar
2010-01-22 13:00:00,2010-01-22,13,23690.28,Solar
2010-01-22 14:00:00,2010-01-22,14,19838.46,Solar
2010-01-22 15:00:00,2010-01-22,15,21052.62,Solar
2010-01-22 16:00:00,2010-01-22,16,11012.38,Solar
2010-01-23 09:00:00,2010-01-23,9,6191.18,Solar
2010-01-23 10:00:00,2010-01-23,10,11039.58,Solar
2010-01-23 11:00:00,2010-01-23,11,17842.14,Solar
2010-01-23 12:00:00,2010-01-23,12,29117.26,Solar
2010-01-23 13:00:00,2010-01-23,13,31941.12,Solar
2010-01-23 14:00:00,2010-01-23,14,24570.28,Solar
2010-01-23 15:00:00,2010-01-23,15,12911.64,Solar
2010-01-23 16:00:00,2010-01-23,16,9505.8,Solar
2010-01-24 10:00:00,2010-01-24,10,4005.6,Solar
2010-01-24 11:00:00,2010-01-24,11,7822.18,Solar
2010-01-24 12:00:00,2010-01-24,12,14618.06,Solar
2010-01-24 13:00:00,2010-01-24,13,25267.42,Solar
2010-01-24 14:00:00,2010-01-24,14,21126.46,Solar
2010-01-24 15:00:00,2010-01-24,15,16370.54,Solar
2010-01-24 16:00:00,2010-01-24,16,12619.98,Solar
2010-01-24 17:00:00,2010-01-24,17,4512.7571449,Solar
2010-01-25 09:00:00,2010-01-25,9,1751.5300414,Solar
2010-01-25 10:00:00,2010-01-25,10,8417.66,Solar
2010-01-25 11:00:00,2010-01-25,11,9806.8,Solar
2010-01-25 12:00:00,2010-01-25,12,10991.44,Solar
2010-01-25 13:00:00,2010-01-25,13,12626.18,Solar
2010-01-25 14:00:00,2010-01-25,14,14144.88,Solar
2010-01-25 15:00:00,2010-01-25,15,6493.84,Solar
2010-01-25 16:00:00,2010-01-25,16,7015.4,Solar
2010-01-28 11:00:00,2010-01-28,11,20744.04,Solar
2010-01-28 12:00:00,2010-01-28,12,47932.64,Solar
2010-01-28 13:00:00,2010-01-28,13,41893.72,Solar
2010-01-28 14:00:00,2010-01-28,14,114587.32,Solar
2010-01-28 15:00:00,2010-01-28,15,103048.36,Solar
2010-01-28 16:00:00,2010-01-28,16,58369.66,Solar
2010-01-28 17:00:00,2010-01-28,17,6288.66,Solar
2010-01-29 09:00:00,2010-01-29,9,20898.62,Solar
2010-01-29 10:00:00,2010-01-29,10,61678.98,Solar
2010-01-29 11:00:00,2010-01-29,11,69471.7,Solar
2010-01-29 12:00:00,2010-01-29,12,65247.48,Solar
2010-01-29 13:00:00,2010-01-29,13,69446.1,Solar
2010-01-29 14:00:00,2010-01-29,14,82876.64,Solar
2010-01-29 15:00:00,2010-01-29,15,61097.86,Solar
2010-01-29 16:00:00,2010-01-29,16,54314.6,Solar
2010-01-29 17:00:00,2010-01-29,17,19227.16,Solar
2010-01-30 09:00:00,2010-01-30,9,61454.74,Solar
2010-01-30 10:00:00,2010-01-30,10,112063.44,Solar
2010-01-30 11:00:00,2010-01-30,11,164542.5,Solar
2010-01-30 12:00:00,2010-01-30,12,184257.4,Solar
2010-01-30 13:00:00,2010-01-30,13,181981.4,Solar
2010-01-30 14:00:00,2010-01-30,14,168463.12,Solar
2010-01-30 15:00:00,2010-01-30,15,138095.82,Solar
2010-01-30 16:00:00,2010-01-30,16,87274.88,Solar
2010-01-30 17:00:00,2010-01-30,17,19441.32,Solar
2010-01-31 09:00:00,2010-01-31,9,8645.2,Solar
2010-01-31 10:00:00,2010-01-31,10,31237.44,Solar
2010-01-31 11:00:00,2010-01-31,11,64408.88,Solar
2010-01-31 12:00:00,2010-01-31,12,129201.9,Solar
2010-01-31 13:00:00,2010-01-31,13,180251.2,Solar
2010-01-31 14:00:00,2010-01-31,14,138769.24,Solar
2010-01-31 15:00:00,2010-01-31,15,110300.2,Solar
2010-01-31 16:00:00,2010-01-31,16,42804.02,Solar
2010-01-31 17:00:00,2010-01-31,17,5792.08,Solar
2010-02-01 09:00:00,2010-02-01,9,41506.64,Solar
2010-02-01 10:00:00,2010-02-01,10,59304.42,Solar
2010-02-01 11:00:00,2010-02-01,11,72918.36,Solar
2010-02-01 12:00:00,2010-02-01,12,74828.78,Solar
2010-02-01 13:00:00,2010-02-01,13,74187.78,Solar
2010-02-01 14:00:00,2010-02-01,14,52680.8,Solar
2010-02-01 15:00:00,2010-02-01,15,38841.96,Solar
2010-02-01 16:00:00,2010-02-01,16,29640.8,Solar
2010-02-01 17:00:00,2010-02-01,17,8839.88,Solar
2010-02-02 09:00:00,2010-02-02,9,8235.7,Solar
2010-02-02 10:00:00,2010-02-02,10,11643.66,Solar
2010-02-02 11:00:00,2010-02-02,11,35225.2,Solar
2010-02-02 12:00:00,2010-02-02,12,53795.82,Solar
2010-02-02 13:00:00,2010-02-02,13,46349.4,Solar
2010-02-02 14:00:00,2010-02-02,14,29012.98,Solar
2010-02-02 15:00:00,2010-02-02,15,15005.8,Solar
2010-02-02 16:00:00,2010-02-02,16,5447.02,Solar
2010-02-03 09:00:00,2010-02-03,9,10896.38,Solar
2010-02-03 10:00:00,2010-02-03,10,18027.22,Solar
2010-02-03 11:00:00,2010-02-03,11,19002.5,Solar
2010-02-03 12:00:00,2010-02-03,12,42436.36,Solar
2010-02-03 13:00:00,2010-02-03,13,62867.06,Solar
2010-02-03 14:00:00,2010-02-03,14,58416.02,Solar
2010-02-03 15:00:00,2010-02-03,15,24410.98,Solar
2010-02-03 16:00:00,2010-02-03,16,20678.24,Solar
2010-02-03 17:00:00,2010-02-03,17,6095.2,Solar
2010-02-04 09:00:00,2010-02-04,9,46283.5,Solar
2010-02-04 10:00:00,2010-02-04,10,86180.66,Solar
2010-02-04 11:00:00,2010-02-04,11,89422.64,Solar
2010-02-04 12:00:00,2010-02-04,12,74756.26,Solar
2010-02-04 13:00:00,2010-02-04,13,78531.12,Solar
2010-02-04 14:00:00,2010-02-04,14,60295.02,Solar
2010-02-04 15:00:00,2010-02-04,15,36355.12,Solar
2010-02-04 16:00:00,2010-02-04,16,19219.16,Solar
2010-02-04 17:00:00,2010-02-04,17,6151.16,Solar
2010-02-05 09:00:00,2010-02-05,9,16256.48,Solar
2010-02-05 10:00:00,2010-02-05,10,30826.0,Solar
2010-02-05 11:00:00,2010-02-05,11,43179.6,Solar
2010-02-05 12:00:00,2010-02-05,12,58308.04,Solar
2010-02-05 13:00:00,2010-02-05,13,47387.14,Solar
2010-02-05 14:00:00,2010-02-05,14,15851.18,Solar
2010-02-05 15:00:00,2010-02-05,15,9025.22,Solar
2010-02-05 16:00:00,2010-02-05,16,7253.22,Solar
2010-02-05 17:00:00,2010-02-05,17,2083.7925107,Solar
2010-02-06 09:00:00,2010-02-06,9,21661.04,Solar
2010-02-06 10:00:00,2010-02-06,10,27293.7,Solar
2010-02-06 11:00:00,2010-02-06,11,43803.92,Solar
2010-02-06 12:00:00,2010-02-06,12,44359.1,Solar
2010-02-06 13:00:00,2010-02-06,13,65582.88,Solar
2010-02-06 14:00:00,2010-02-06,14,53957.68,Solar
2010-02-06 15:00:00,2010-02-06,15,44089.24,Solar
2010-02-06 16:00:00,2010-02-06,16,77092.48,Solar
2010-02-06 17:00:00,2010-02-06,17,17543.28,Solar
2010-02-07 09:00:00,2010-02-07,9,38458.76,Solar
2010-02-07 10:00:00,2010-02-07,10,44226.36,Solar
2010-02-07 11:00:00,2010-02-07,11,94959.18,Solar
2010-02-07 12:00:00,2010-02-07,12,117118.88,Solar
2010-02-07 13:00:00,2010-02-07,13,73246.6,Solar
2010-02-07 14:00:00,2010-02-07,14,90369.5,Solar
2010-02-07 15:00:00,2010-02-07,15,91043.76,Solar
2010-02-07 16:00:00,2010-02-07,16,48975.32,Solar
2010-02-07 17:00:00,2010-02-07,17,14903.52,Solar
2010-02-08 08:00:00,2010-02-08,8,14223.24,Solar
2010-02-08 09:00:00,2010-02-08,9,82968.86,Solar
2010-02-08 10:00:00,2010-02-08,10,95804.3,Solar
2010-02-08 11:00:00,2010-02-08,11,124006.54,Solar
2010-02-08 12:00:00,2010-02-08,12,174522.58,Solar
2010-02-08 13:00:00,2010-02-08,13,186542.38,Solar
2010-02-08 14:00:00,2010-02-08,14,173711.24,Solar
2010-02-08 15:00:00,2010-02-08,15,149006.44,Solar
2010-02-08 16:00:00,2010-02-08,16,102258.78,Solar
2010-02-08 17:00:00,2010-02-08,17,35217.88,Solar
2010-02-09 09:00:00,2010-02-09,9,6238.0,Solar
2010-02-09 10:00:00,2010-02-09,10,6115.0,Solar
2010-02-09 11:00:00,2010-02-09,11,7068.08,Solar
2010-02-09 12:00:00,2010-02-09,12,14873.5,Solar
2010-02-09 13:00:00,2010-02-09,13,24423.66,Solar
2010-02-09 14:00:00,2010-02-09,14,24240.1,Solar
2010-02-09 15:00:00,2010-02-09,15,15964.06,Solar
2010-02-09 16:00:00,2010-02-09,16,9938.74,Solar
2010-02-09 17:00:00,2010-02-09,17,3075.1939598999998,Solar
2010-02-10 10:00:00,2010-02-10,10,3397.86,Solar
2010-02-10 11:00:00,2010-02-10,11,9933.84,Solar
2010-02-10 12:00:00,2010-02-10,12,19065.74,Solar
2010-02-10 13:00:00,2010-02-10,13,25723.14,Solar
2010-02-10 14:00:00,2010-02-10,14,24339.86,Solar
2010-02-10 15:00:00,2010-02-10,15,19461.04,Solar
2010-02-10 16:00:00,2010-02-10,16,13251.58,Solar
2010-02-10 17:00:00,2010-02-10,17,4177.7192557,Solar
2010-02-11 09:00:00,2010-02-11,9,7806.94,Solar
2010-02-11 10:00:00,2010-02-11,10,12721.38,Solar
2010-02-11 11:00:00,2010-02-11,11,28936.04,Solar
2010-02-11 12:00:00,2010-02-11,12,83379.62,Solar
2010-02-11 13:00:00,2010-02-11,13,147239.98,Solar
2010-02-11 14:00:00,2010-02-11,14,182873.6,Solar
2010-02-11 15:00:00,2010-02-11,15,156569.94,Solar
2010-02-11 16:00:00,2010-02-11,16,108657.74,Solar
2010-02-11 17:00:00,2010-02-11,17,43994.84,Solar
2010-02-12 08:00:00,2010-02-12,8,4880.2727971,Solar
2010-02-12 09:00:00,2010-02-12,9,17341.34,Solar
2010-02-12 10:00:00,2010-02-12,10,30990.62,Solar
2010-02-12 11:00:00,2010-02-12,11,44310.72,Solar
2010-02-12 12:00:00,2010-02-12,12,51526.84,Solar
2010-02-12 13:00:00,2010-02-12,13,77999.88,Solar
2010-02-12 14:00:00,2010-02-12,14,75847.88,Solar
2010-02-12 15:00:00,2010-02-12,15,121723.68,Solar
2010-02-12 16:00:00,2010-02-12,16,96419.52,Solar
2010-02-12 17:00:00,2010-02-12,17,25249.04,Solar
2010-02-13 08:00:00,2010-02-13,8,5977.3109275,Solar
2010-02-13 09:00:00,2010-02-13,9,23862.54,Solar
2010-02-13 10:00:00,2010-02-13,10,115350.06,Solar
2010-02-13 11:00:00,2010-02-13,11,102223.4,Solar
2010-02-13 12:00:00,2010-02-13,12,69946.72,Solar
2010-02-13 13:00:00,2010-02-13,13,76460.34,Solar
2010-02-13 14:00:00,2010-02-13,14,104762.82,Solar
2010-02-13 15:00:00,2010-02-13,15,66377.74,Solar
2010-02-13 16:00:00,2010-02-13,16,32110.64,Solar
2010-02-13 17:00:00,2010-02-13,17,11557.18,Solar
2010-02-14 09:00:00,2010-02-14,9,12636.82,Solar
2010-02-14 10:00:00,2010-02-14,10,25778.74,Solar
2010-02-14 11:00:00,2010-02-14,11,42439.14,Solar
2010-02-14 12:00:00,2010-02-14,12,123292.76,Solar
2010-02-14 13:00:00,2010-02-14,13,70217.88,Solar
2010-02-14 14:00:00,2010-02-14,14,49592.38,Solar
2010-02-14 15:00:00,2010-02-14,15,30070.82,Solar
2010-02-14 16:00:00,2010-02-14,16,13740.76,Solar
2010-02-14 17:00:00,2010-02-14,17,5553.68,Solar
2010-02-15 08:00:00,2010-02-15,8,6780.2148815,Solar
2010-02-15 09:00:00,2010-02-15,9,25374.62,Solar
2010-02-15 10:00:00,2010-02-15,10,58771.42,Solar
2010-02-15 11:00:00,2010-02-15,11,53621.54,Solar
2010-02-15 12:00:00,2010-02-15,12,63822.24,Solar
2010-02-15 13:00:00,2010-02-15,13,68450.8,Solar
2010-02-15 14:00:00,2010-02-15,14,47193.84,Solar
2010-02-15 15:00:00,2010-02-15,15,31140.46,Solar
2010-02-15 16:00:00,2010-02-15,16,15547.06,Solar
2010-02-15 17:00:00,2010-02-15,17,5645.62,Solar
2010-02-16 09:00:00,2010-02-16,9,9334.42,Solar
2010-02-16 10:00:00,2010-02-16,10,23723.16,Solar
2010-02-16 11:00:00,2010-02-16,11,55933.7,Solar
2010-02-16 12:00:00,2010-02-16,12,100385.08,Solar
2010-02-16 13:00:00,2010-02-16,13,72414.84,Solar
2010-02-16 14:00:00,2010-02-16,14,49988.58,Solar
2010-02-16 15:00:00,2010-02-16,15,31110.4,Solar
2010-02-16 16:00:00,2010-02-16,16,25363.32,Solar
2010-02-16 17:00:00,2010-02-16,17,12701.92,Solar
2010-02-17 08:00:00,2010-02-17,8,3202.2819096000003,Solar
2010-02-17 09:00:00,2010-02-17,9,15959.64,Solar
2010-02-17 10:00:00,2010-02-17,10,68958.9,Solar
2010-02-17 11:00:00,2010-02-17,11,94369.72,Solar
2010-02-17 12:00:00,2010-02-17,12,81172.84,Solar
2010-02-17 13:00:00,2010-02-17,13,55935.58,Solar
2010-02-17 14:00:00,2010-02-17,14,41729.48,Solar
2010-02-17 15:00:00,2010-02-17,15,41106.92,Solar
2010-02-17 16:00:00,2010-02-17,16,35510.36,Solar
2010-02-17 17:00:00,2010-02-17,17,21415.2,Solar
2010-02-18 08:00:00,2010-02-18,8,24214.06,Solar
2010-02-18 09:00:00,2010-02-18,9,94569.84,Solar
2010-02-18 10:00:00,2010-02-18,10,140787.44,Solar
2010-02-18 11:00:00,2010-02-18,11,134315.46,Solar
2010-02-18 12:00:00,2010-02-18,12,98998.36,Solar
2010-02-18 13:00:00,2010-02-18,13,79052.04,Solar
2010-02-18 14:00:00,2010-02-18,14,52472.56,Solar
2010-02-18 15:00:00,2010-02-18,15,35018.34,Solar
2010-02-18 16:00:00,2010-02-18,16,30999.1,Solar
2010-02-18 17:00:00,2010-02-18,17,49204.12,Solar
2010-02-19 08:00:00,2010-02-19,8,23344.72,Solar
2010-02-19 09:00:00,2010-02-19,9,90868.74,Solar
2010-02-19 10:00:00,2010-02-19,10,146526.86,Solar
2010-02-19 11:00:00,2010-02-19,11,181062.1,Solar
2010-02-19 12:00:00,2010-02-19,12,191239.38,Solar
2010-02-19 13:00:00,2010-02-19,13,197042.06,Solar
2010-02-19 14:00:00,2010-02-19,14,185366.54,Solar
2010-02-19 15:00:00,2010-02-19,15,161280.72,Solar
2010-02-19 16:00:00,2010-02-19,16,116862.66,Solar
2010-02-19 17:00:00,2010-02-19,17,51107.04,Solar
2010-02-20 08:00:00,2010-02-20,8,20897.76,Solar
2010-02-20 09:00:00,2010-02-20,9,75548.34,Solar
2010-02-20 10:00:00,2010-02-20,10,131883.0,Solar
2010-02-20 11:00:00,2010-02-20,11,158228.46,Solar
2010-02-20 12:00:00,2010-02-20,12,187402.7,Solar
2010-02-20 13:00:00,2010-02-20,13,189333.76,Solar
2010-02-20 14:00:00,2010-02-20,14,175383.1,Solar
2010-02-20 15:00:00,2010-02-20,15,118434.58,Solar
2010-02-20 16:00:00,2010-02-20,16,76402.26,Solar
2010-02-20 17:00:00,2010-02-20,17,35925.16,Solar
2010-02-21 08:00:00,2010-02-21,8,16002.9,Solar
2010-02-21 09:00:00,2010-02-21,9,26680.42,Solar
2010-02-21 10:00:00,2010-02-21,10,39815.7,Solar
2010-02-21 11:00:00,2010-02-21,11,75448.52,Solar
2010-02-21 12:00:00,2010-02-21,12,151161.86,Solar
2010-02-21 13:00:00,2010-02-21,13,98383.14,Solar
2010-02-21 14:00:00,2010-02-21,14,156297.4,Solar
2010-02-21 15:00:00,2010-02-21,15,68713.08,Solar
2010-02-21 16:00:00,2010-02-21,16,30832.86,Solar
2010-02-21 17:00:00,2010-02-21,17,13292.26,Solar
2010-02-22 10:00:00,2010-02-22,10,2888.38,Solar
2010-02-22 11:00:00,2010-02-22,11,8919.22,Solar
2010-02-22 12:00:00,2010-02-22,12,18981.32,Solar
2010-02-22 13:00:00,2010-02-22,13,25469.02,Solar
2010-02-22 14:00:00,2010-02-22,14,30221.24,Solar
2010-02-22 15:00:00,2010-02-22,15,26105.68,Solar
2010-02-22 16:00:00,2010-02-22,16,19799.64,Solar
2010-02-22 17:00:00,2010-02-22,17,11060.08,Solar
2010-02-23 08:00:00,2010-02-23,8,4489.5246498999995,Solar
2010-02-23 09:00:00,2010-02-23,9,16885.94,Solar
2010-02-23 10:00:00,2010-02-23,10,27891.72,Solar
2010-02-23 11:00:00,2010-02-23,11,43495.84,Solar
2010-02-23 12:00:00,2010-02-23,12,69936.82,Solar
2010-02-23 13:00:00,2010-02-23,13,125322.6,Solar
2010-02-23 14:00:00,2010-02-23,14,161293.02,Solar
2010-02-23 15:00:00,2010-02-23,15,51704.86,Solar
2010-02-23 16:00:00,2010-02-23,16,23365.64,Solar
2010-02-23 17:00:00,2010-02-23,17,12713.78,Solar
2010-02-24 08:00:00,2010-02-24,8,9248.76,Solar
2010-02-24 09:00:00,2010-02-24,9,26342.2,Solar
2010-02-24 10:00:00,2010-02-24,10,48296.8,Solar
2010-02-24 11:00:00,2010-02-24,11,68591.66,Solar
2010-02-24 12:00:00,2010-02-24,12,92115.72,Solar
2010-02-24 13:00:00,2010-02-24,13,89957.04,Solar
2010-02-24 14:00:00,2010-02-24,14,87074.88,Solar
2010-02-24 15:00:00,2010-02-24,15,65566.36,Solar
2010-02-24 16:00:00,2010-02-24,16,51580.44,Solar
2010-02-24 17:00:00,2010-02-24,17,22218.32,Solar
2010-02-25 08:00:00,2010-02-25,8,19809.0,Solar
2010-02-25 09:00:00,2010-02-25,9,76954.16,Solar
2010-02-25 10:00:00,2010-02-25,10,119842.24,Solar
2010-02-25 11:00:00,2010-02-25,11,168862.7,Solar
2010-02-25 12:00:00,2010-02-25,12,179837.78,Solar
2010-02-25 13:00:00,2010-02-25,13,120694.42,Solar
2010-02-25 14:00:00,2010-02-25,14,47376.54,Solar
2010-02-25 15:00:00,2010-02-25,15,60097.76,Solar
2010-02-25 16:00:00,2010-02-25,16,50942.5,Solar
2010-02-25 17:00:00,2010-02-25,17,15385.04,Solar
2010-02-26 08:00:00,2010-02-26,8,5592.8195453,Solar
2010-02-26 09:00:00,2010-02-26,9,15455.16,Solar
2010-02-26 10:00:00,2010-02-26,10,19600.88,Solar
2010-02-26 11:00:00,2010-02-26,11,36106.12,Solar
2010-02-26 12:00:00,2010-02-26,12,42140.3,Solar
2010-02-26 13:00:00,2010-02-26,13,38040.84,Solar
2010-02-26 14:00:00,2010-02-26,14,38865.98,Solar
2010-02-26 15:00:00,2010-02-26,15,31459.0,Solar
2010-02-26 16:00:00,2010-02-26,16,28488.28,Solar
2010-02-26 17:00:00,2010-02-26,17,11060.44,Solar
2010-02-27 08:00:00,2010-02-27,8,7538.1,Solar
2010-02-27 09:00:00,2010-02-27,9,21833.76,Solar
2010-02-27 10:00:00,2010-02-27,10,30914.04,Solar
